Issue Date,Syndicate Desk,Syndicate Region,Country,Issuer,ISIN,Issuer Category,Sector,Currency,Size (EUR m),Tenor,Seniority,Coupon,IPTs,Spread at Launch (bps),Guidance,Price Tightening,Books Guide,Books Launch,Books Final,Oversubscription,New Issue Premium (bps),BNP Role,BNP Active,Sustainable
2025-01-24,Hong Kong,Asia-Pacific,South Korea,Cloud Corporation,KR1WG3HJSOS2,Corporate,Technology,CNY,392.08,3,Senior Subordinated,Floating,5.62,85.54,5.54,0.08,509.7,764.55,866.49,3.53,44.53,None,True,True
2022-03-05,New York,Americas,Mexico,Manufacturing Innovations,MXXR6N18BEQ2,Corporate,Industrial,USD,370.24,5,Senior Unsecured,Fixed,7.1,139.79,7.0,0.1,481.31,721.97,818.23,3.65,7.08,None,False,True
2025-01-24,Hong Kong,Asia-Pacific,Hong Kong,Brands Solutions,HKQ2P014X5D5,Corporate,Consumer,USD,535.7,10,Senior Unsecured,Fixed,6.05,189.49,5.94,0.11,696.41,1044.62,1183.9,3.96,17.61,Co-Manager,True,False
2024-01-14,Hong Kong,Asia-Pacific,China,Tech Corporation,CNFIXLBO9EW6,Corporate,Healthcare,USD,372.2,3,Senior Unsecured,Fixed,6.67,113.35,6.63,0.04,483.86,725.79,822.56,2.07,23.54,Co-Manager,True,True
2020-02-07,New York,Americas,USA,Medical Corporation,US7WR1SHEUR7,Corporate,Healthcare,USD,275.2,10,Senior Unsecured,Fixed,6.98,188.63,6.94,0.04,357.76,536.64,608.19,2.33,18.69,Documentation Agent,True,True
2021-06-01,New York,Americas,USA,Brands Systems,USPO86K24ZN1,Corporate,Consumer,USD,464.71,5,Senior Unsecured,Zero-Coupon,5.66,123.25,5.6,0.06,604.12,906.18,1027.0,2.7,47.67,None,True,False
2024-02-21,Hong Kong,Asia-Pacific,China,Engineering Innovations,CNJRZCV3HRQ0,Corporate,Healthcare,CNY,386.53,5,Senior Subordinated,Floating,4.55,207.21,4.45,0.1,502.49,753.74,854.23,4.41,6.33,Co-Manager,True,False
2025-02-08,London,EMEA,Germany,Engineering Innovations,DEPCFLOIG8B2,Corporate,Consumer,USD,328.66,30,Senior Unsecured,Zero-Coupon,5.32,225.35,5.2,0.12,427.26,640.89,726.34,4.56,5.73,Passive Bookrunner,True,True
2023-07-26,Hong Kong,Asia-Pacific,Singapore,Continental Holdings,SGMQ46PL5NB8,FIG,Financial Services,HKD,195.85,7,Tier 2,Floating,5.86,95.59,5.72,0.14,293.77,528.79,587.54,4.57,39.11,Global Coordinator,False,False
2020-09-06,Hong Kong,Asia-Pacific,South Korea,Brands Systems,KRTAG2M09324,Corporate,Healthcare,USD,168.29,5,Senior Secured,Fixed,3.45,126.7,3.42,0.03,218.78,328.17,371.93,1.93,22.01,Passive Bookrunner,False,False
